#	선수명	팀명	승	패	세	홀드	블론	경기	선발	이닝	삼진/9	볼넷/9	홈런/9	BABIP	LOB%	ERA	RA9-WAR	FIP	kFIP	WAR
38	조상우	Hero	2	4	20	8	2	48	0	47.1	8.75	1.52	0.57	0.321	78.7	2.66	2.50	2.91	2.65	1.46
39	문경찬	KIA	1	2	24	0	4	54	0	55.0	8.18	1.64	0.33	0.277	88.1	1.31	2.79	2.55	2.31	1.44
40	김태훈	SK	4	5	7	27	5	71	0	69.2	9.82	3.36	0.52	0.315	69.4	3.88	2.26	3.26	2.98	1.42
41	하재훈	SK	5	3	36	3	1	61	0	59.0	9.76	3.97	0.15	0.311	84.0	1.98	3.02	2.72	2.44	1.41
42	박종훈	SK	8	11	0	0	0	28	28	144.0	6.25	3.69	0.75	0.320	74.0	3.88	3.05	4.59	4.68	1.37
43	안우진	Hero	7	5	0	0	0	19	15	88.1	8.15	3.67	0.82	0.335	64.1	5.20	1.06	4.09	3.97	1.37
44	전상현	KIA	1	4	0	14	4	57	0	60.2	9.20	3.12	0.45	0.269	73.7	3.12	1.34	3.04	2.78	1.35
45	고우석	LG	8	2	35	1	4	65	0	71.0	9.51	3.80	0.51	0.249	90.2	1.52	3.66	3.29	3.04	1.34
46	오주원	Hero	3	3	18	3	2	57	0	54.1	6.79	1.16	0.17	0.315	75.1	2.32	2.01	2.68	2.60	1.34
47	원종현	NC	3	3	31	0	10	60	0	60.0	8.85	2.55	0.60	0.343	67.2	3.90	1.05	3.20	2.96	1.24
48	박세웅	롯데	3	6	0	0	0	12	12	60.0	6.60	3.45	0.45	0.328	66.0	4.20	0.95	3.73	3.73	1.23
49	문승원	SK	11	7	0	2	0	26	23	144.0	6.19	2.06	1.44	0.251	77.0	3.88	4.35	4.83	4.82	1.17
50	맥과이어	삼성	4	8	0	0	0	21	21	112.1	8.01	5.29	1.04	0.327	71.2	5.05	1.54	5.05	5.01	1.08
51	김원중	롯데	5	10	0	1	0	28	17	102.1	8.18	4.13	1.14	0.354	64.9	5.63	0.10	4.76	4.66	1.05
52	김승회	두산	3	3	3	7	2	55	0	58.2	7.06	2.45	0.15	0.308	69.3	3.07	1.57	2.92	2.85	0.96
53	이태양	한화	1	6	0	10	5	55	1	66.2	8.64	1.76	1.08	0.342	58.4	5.80	-0.10	3.76	3.52	0.94
54	함덕주	두산	2	5	16	7	3	61	0	54.2	7.90	5.60	0.99	0.229	76.2	3.46	1.71	4.77	4.71	0.94
55	버틀러	NC	3	6	0	0	0	13	13	73.2	5.99	3.42	0.73	0.301	62.2	4.76	0.59	4.31	4.37	0.91
56	백정현	삼성	8	10	0	0	0	28	27	157.0	4.70	3.21	0.97	0.274	68.8	4.24	2.97	4.95	5.13	0.91
57	한현희	Hero	7	5	0	24	3	61	0	58.0	7.60	3.10	0.16	0.301	67.5	3.41	0.90	3.28	3.22	0.87
58	박시영	롯데	1	1	0	4	1	43	6	61.2	8.76	3.94	0.73	0.277	69.3	4.23	1.37	4.02	3.86	0.86
59	최성영	NC	4	1	0	2	0	26	15	82.1	6.78	5.47	0.33	0.305	72.6	3.94	1.52	4.26	4.33	0.84
